售前/售后,英文/小语种,id,渠道channel,会话chatSessionId,客户名称customer,提交时间,remark,sessionId,starLevel,意图分类,翻译
售前,小语种,c0886c8f9b43e7cb281b0ab09e3966a4,it_store1,|82658158422257553253094,pixW4RL3/F3oPxd4zTh4WtiEvhMDk+gp1npBbYJmvMY=,2024-12-14,Dando la possibilità di parlare con un operatore,q3THLkOV9bGDQ66FdBeNvAPJ+pVUULq/WOGdeshYwo0=,2.0,服务不满,dando di parlare的可能性
售后,小语种,f7b332b14989a0a70c46b73d9ee2ed91,fr_sp1,|82658143289153581251861,5fLbBqq3QvaEW3JYzgjlhw==,2024-12-14,"Bonjour,

Je suis toujours en attente de votre retour concernant ma demande 8697416. ",6LWZT4uD4FBsBobvolSwE6oaifMOLtXXukAKeDwSvcE=,1.0,礼貌问候,"早上好，

我仍在等待您有关我的请求8697416的回报。"
售前,英文,77460acd22c8c5d24af4816d17008cfe,eu_store1,|82658137514183500472069,7NT+HZX2euORzOQzNH64Jw==,2024-12-14,"I consider that i am asking a viable question about an obvious fault in advertising,  misselling .",bCRaz/5PoqAK4P7Stq+2E9Vjt2C37TKgAxaj7G9PhH4=,1.0,服务不满,我认为我正在问一个关于广告中明显错误的可行问题。
售后,英文,b4e8b13a35b928729c3975de712f77db,na_sp1,|82658883028028514843916,d/7MOt3w99DD2SBEMt+iEA==,2024-12-15,"My order was returned to sender, why ? Order     0010181176712
",2BJ6s1k2eJCKnFRYWekKu73lEo53t231jlc/pYmdXFU=,3.0,"购买咨询,退换处理",我的订单退还给发件人，为什么？订单0010181176712
售前,英文,0ed839680e35248657ee1b38e5cd046c,eu_store1,|82656299950111508653866,8YtGtf6PrkGbCoi/2ji7FbbXOvYBfwRXMz/NTDW/Dfs=,2024-12-16,"Poor, I was not able to get the help I needed",bkAFHRlCq7koD65bNbNlvuenOtGa/j/EmNjhJXTlesA=,1.0,服务不满,糟糕，我无法获得我需要的帮助
售前,英文,7281379be29dadea7900cd3ad743aecc,na_store1,|82656900595907235520449,Kb/onysj00ntAdKLnkMyxw==,2024-12-16,I was only referred to the self service options. My order has been stalled in NYC. ,NqVz8PwwUe3siy1AR4oAAuOW6S2OqL27S8ac9lZ2e1I=,1.0,购买咨询,我只传给自助服务选项。我的订单已存储在纽约市。
售后,英文,c9116019da495a55c93a9ef7b7cbbd91,na_sp1,|82656364057344054079135,sPY0qqoHK8CH+YaeMavEpQ==,2024-12-16,"focus motor on ronin 4d not working
",iWvuhQpwE6kgUNGdJcNb40/K2nLDVD1tewCosFJAaKk=,2.0,产品故障,将电动机集中在Ronin 4D上不起作用
售后,英文,91ede6a9255645fe5e4d9e6035e1cf5b,au_sp1,|82656076890684835789607,MdSEgOtzJIi8peYVJrJyMg==,2024-12-16,I wrote a description of my problem ie I have a Samsung tab S9 is there an old version of dji go 4 ,Xmj4n96j2ouQM1yfikSNbwloUl/ayDSXlJABvi7GGsI=,1.0,产品故障,我写了我的问题的描述，即我有一个三星选项卡S9有旧版本的DJI GO 4
售前,小语种,3df9bb0753e95a39a08c83eea16a2ddb,de_store1,|82656496412701046064863,lvd77DvBsgFZYmK9ZGpINdEospESZaa3ILkAF7ueD2o=,2024-12-16,"Hallo ,bei meinem DJI 3 mini pro brent dauerhaft das warenlicht Sichtsensoren wie kan man das behebe",NpT7aSqPG4J1h7dED8cjIMMh+2Ryk79p6/Ofgsj19/o=,5.0,满意表扬,HALLO，BEI MEINEM DJI 3 MINI PRO BRENT DAUERHAFT DAS DAS WARENLICHT SICHTSONSOREN WIE KAN MAN DAS MAN DAS DAS BEHEBE
售后,小语种,aa785cc881912f21aae6916010ffc6d3,de_sp21,|82657090163622237766561,/yn6ctpTwPp9ULjlLN24qUbgofa9jrrtkVYBQlHX9Cw=,2024-12-16,Ich bekomme keinen Kontakt mit dem Support,bni6MuMuGNdUx7HSBfnkK5xleKD+2RqFM0fDuB8dX68=,1.0,设备兼容,ICH BEKOMME KEINEN KONTAKT MIT DEM支持
售前,英文,ff9b1508963d76a7071ef4c1c7126ca3,fb_store1,|82656750535706070891162,0vCXDCt3UH8sLnPwZpsLn2rdRuCRPSoCl7YJT/l2t4M=,2024-12-16,Help,XKcEorQxmRYnZxbT3wUiFu9M37AaIsPdkYx79Pf7rjk=,1.0,服务不满,帮助
售后,英文,5dbd51e9ababd6c1e19da8aedfb31fd8,na_sp1,|82655517691859008477639,1zB4p4E5Ay9dJomD3fugxBdlA2PVv9ZfYVENb2+/FxQ=,2024-12-17,"Someone to answer your question, not AI that sends random useless suggestions",Tdvgdq6lbpwoSpJ1yhTX0aSNggaltjNjrK44FP29sOs=,1.0,服务不满,有人回答您的问题，而不是发送随机无用建议的AI
售后,小语种,4fa40c3e2d0601cadad56046a24d7cec,kr_sp1,|82655698897227263472395,k2cFTJTdCz2An4DNn914Z25I+UJWlMlDuIML+y93WMA=,2024-12-17,"카톡으로 큐얄코드  보네지 못했읍니다 다시 메일 
보네주시면 감사요 잘못 클릭해서   나가기로 했네요",oPgCC3EqVmhELIgalnWNMpaTFzfZFsNLRgV4jA4kzzM=,5.0,满意表扬,"我看不到Katok的发达代码。 
谢谢您的看法。"
售后,英文,232226d2f40dd0ced1680367e1c15ba2,en_other18,|82656174624692277453086,39WhfuDvhXHbzZeBfawp9g==,2024-12-18,"5 days since I contacted support followed up by 2 further contacts, including a phone call. help",rtS3uWZlV7meeNjJcrhFMRM5pSD/jD30eBrjhsqa7BU=,1.0,设备兼容,自从我通过2个fulther联系人（包括一个电话）与Fulloows联系以来5天。帮助
售前,英文,76a2067141acee80c518713b6fa44979,na_store1,|82653693424912864513965,6gWpnWtRE4aOeBDbLBGbeA==,2024-12-19,Did not help ,JCoF3wSJm9yK84IcluoX+gntwJYInrvI1gLQe2E3THI=,1.0,服务不满,没有帮助
售后,英文,57afacc33e02c251feb301757fb4b43a,na_sp1,|82653643494431735421251,eCh3WDLLbz1sYlzcO4cch5zCJdSoViOO/AjgfJGEUk4=,2024-12-19,this sucks I need help getting DJI care contact Sam at birchfieldsam@gmail.com thanks,A2Mw/+Wm6Oo7jwLSKACQlHcZZjwrmwNWxhL276c1COc=,1.0,"满意表扬,礼貌问候",这很糟糕，我需要帮助获得DJI Care，请通过birchfieldsam@gmail.com与Sam联系，谢谢
售前,英文,97a98d33ee9832eff01f47dea6ebe151,na_store1,|82652921051964991113309,AwOVA0tgCnAiYmrrDZRw5g==,2024-12-20,specificity,gUBnhl3FtuQD9llRALvLMYH6q8J1t5a3yeuuFJVmEL4=,3.0,其他咨询,特异性
售后,英文,c156a02a021b4942bd5e59aca5f9c68f,eu_sp1,|82653109960329956886742,nPDVgXEfaBBIumtulJEdVd7+B2FTeIe6FyJHEpRpJzY=,2024-12-20,This is all about drones. I'm not trying to repair a drone.,Gww8JjeFP1wTYMPHGcrY5BhSGI0/iJ66OxnIIGLMfOU=,1.0,"设备维修,设备兼容,礼貌问候",这全都与无人机有关。我不是要修理无人机。
售后,英文,59d0e4f2b4ee6d77c7778d3dbba9197a,fb_sp1,|82653390231345541380387,t9GKlcSevBbUJy7VOcp4oA==,2024-12-20,No answer,9RuOc95ia8Jz8gVhV17Y3unK8O1vBpmKDM/pyoYpZtg=,1.0,服务不满,没有答案
售前,英文,21b519f4fdbe92734220c8ebc3ea3991,na_store1,|82651887099366559449992,TApPofqE8ONOEnHPfWSl+fkIrTD7W04rFvE5FcJ52y4=,2024-12-21,I am tired of waiting for your customer service reps to answer but they don't hesitate to disconnect,vY/yxMrmmOBOyE4ApUE/tUjt9AZGFGOlvggck31eG6U=,1.0,设备兼容,我厌倦了等待您的客户服务代表回答，但他们不愿断开连接
售后,英文,84ae92ae9369ac64318ab3d5e92c04e9,en_other18,|82652388128224407585821,Db5ss4krO42UTOQB8h6K+w==,2024-12-21,Not available,9Z5UiaNQ+deeRfhVJoyao+9pGMEaPhtWpBWrmuA/Xfs=,1.0,购买咨询,无法使用
售前,英文,e6608eec4be73a944b773994a2429ac6,eu_store1,|82651921684427165734241,+GkAyNqRfconFlnNLNCBAjlkZD+WTO4NWtsMShbq9XY=,2024-12-21,Cant get any help. My new drone is nor working vant activate it!!!!!!,tj9ZyzwPLcNScUBp/w0dpMlU5MZpq616Kh059L4ho8A=,1.0,激活设置,无法获得任何帮助。我的新无人机也不在工作，可以激活它!!!!!!
售后,英文,45b2a466937ba0b08460970f7445ea0a,na_sp1,|82651885552281934471745,N35hBp6vBW+ml7RcA5sTRw==,2024-12-21,No one available. When clicking options you are taken away from chat. useless support,kLtMHVKmCpgXlZcyqjp/1HIl6aYN+6fiTYBRgeZYV40=,1.0,"服务不满,购买咨询,设备兼容",没有人可用。单击选项时，您将被带走猫。无用的支持
售前,英文,a567fdd0bfd5af7df3e4903b30c9f959,na_store1,|82651738759499333495520,waMXyL00fmKCaxTwm6vtJGuUPZBpluJ14OTi3wq+W5s=,2024-12-22,What if you get 3 battery's ,XtZTUPWaGYNEwVhh/LZQiCGOyuZzCMzMOiwrctQLDPo=,5.0,"满意表扬,使用指导",如果您有3个电池怎么办
售前,英文,0db3e7e6c5a1452d1d97085c028bf7c2,na_store1,|82650933201543435598681,lsfTm6GjCSEYK6JVXbj0GQ==,2024-12-23,"Not getting the information I need
",gishWKyKfAmLPYz+5Khm/Ge9t7T6aqZeyMGWzs/pRDY=,2.0,服务不满,没有得到我需要的信息
售后,小语种,d2525ea80cc0c87172ad7b8ffa5ec8be,fr_sp1,|82650250080629035068514,FgsxxdbrNcQHUCvhOBhBuw==,2024-12-23,activation mavic 3T  enterprise,amtZR4aAYFoiz2nTarV/IQ==,3.0,激活设置,Mavic 3T企业激活
售前,英文,efc48bd598409ba3f9501f23014821b5,na_store1,|82650244053658901755168,TbrJ7dIzDvi6J0iDM22ILhyGU1QE7yOb27h9KimMVy4=,2024-12-23,Either I entered query wrong way..or ? not followed up on.,3IkO+cndqPVf8cRR31Bt48Vq74nHh56f04GBL6oJq2I=,1.0,"服务不满,使用指导",我要么输入错误的方法..还是？没有跟进。
售后,英文,e04acbfe8c0b0c0634e3305f35495739,na_sp1,|82649292484045817832019,9TmAys9GfBFpzEjsFBa1yclp0dXX3CHPppi00XLC6ZE=,2024-12-24,I would like for someone to contact me at 832-236-9694 to discuss this issue as soon as possible. ,n8+uuCAfUamXQz0knc+Twrh5SVr41U4byNLtnCPiwN4=,1.0,"产品故障,礼貌问候",我希望有人通过832-236-9694与我联系，以尽可能讨论此结果。
售前,英文,a5b08705109ac27afd0f1cb6c97956ce,au_store1,|82649671768231083715448,lPfYAA8ZgsJZAxWFle12Ws/zSN9rzCV5UkJ7/LO3zq8=,2024-12-25,Has GST been applied why is DJi Australia not handling the item?,dCyw0G9YIlDJw2RwM1t2qOBuX+2aojX5kWiex5AnlUM=,4.0,APP使用,是否应用了GST，为什么DJI Australia不处理该商品？
售前,英文,173c5d7d74b93881050cbccf3351f2a6,na_store1,|82649456210129519762134,clebj0bSu71k12YqbugQzw==,2024-12-25,"I found out very quickly what I needed to know, with your virtual assistant. ",JJG/WYeOwhLgrbbHlkkjDg==,5.0,"满意表扬,使用指导",我很快就与您的虚拟助手一起发现了我需要知道的内容。
售前,小语种,7eefdf157fabdb945bc5488630a4335c,de_store1,|82648755443695659136752,povfK8LkCcOQOvCf0+cFOw==,2024-12-25,habe mir die DJI Mini 3 mit CARE Refresh Keep Flying  über Amason gekauft keine hilfe ,88Ccx5Ym/3igrRwqESWU4qE8rP5Umh+p5qaPpgfgKt8=,1.0,"保修咨询,礼貌问候",HABE MIR DIE DJI MINI 3 MIT CARE REFRESH继续飞行überamason gekauft keine hilfe
售前,英文,27fd45ab2a1d5d28ae6ba57c8e650590,na_store1,|82648542619751521638452,w80d3+6f72uKsWuGsX7GOQ==,2024-12-25,I ordered the wrong version.  I wanted to order the air 3S version.  ,SV43+SfNBk+St2/q6kFNUcqsfH8ZDd2MdroSDCTUKhk=,3.0,购买咨询,我订购了错误的版本。  我想订购Air 3S版本。
售后,英文,4c7da8e5b3f39e2e49af79836725909e,eu_sp1,|82647920109828536256427,r2sCsyYGmXwIN9YkuET9CcBLzzSPRYHxhXQ1AURj1/0=,2024-12-26,Battery will not take charge ,GC654wQeTvDbc7irpnXVqy+oSKw0SkYHf2gr/JDxtps=,1.0,服务不满,电池将无法充电
售后,英文,0582514f0e0b3d871a776e8b932ce076,na_sp1,|82647574023581629723358,33d/H9VjvgbF5mpduFk5wQ==,2024-12-26,"Where and when do I send for repairs?
",eJEMGkZEmTs9GJzoFCdDf1AD4GcFpdsdHTk59n/1FCg=,4.0,"设备维修,设备兼容",我何时何地进行维修？
售后,英文,a969e75e832d27adc339b9a4c81c52e0,eu_sp1,|82647130422646661354430,aZBHiD0KroPv9tU8UsRbbqtW+E/D9x6dA0v2x4pZxX0=,2024-12-27,Not helpful ,FFcAAaf65sO4o/oqnBcLvs2yHHfWFBN8edYx19I6n8o=,1.0,服务不满,没有帮助
售后,英文,c9a88a4e31c078e934b2db59e23ab350,au_fly1,|82647446615608194790084,eRUmv43R9qGGWnG8h9SF4B+19bjcJXd9tP1l4ZZE41Y=,2024-12-27,Help with camera,kPm1SgKIGRcdG8YvhvC0wrt2y5eoRmcqgMKXThaVhf8=,3.0,使用指导,帮助相机
售后,英文,2655a78541682453f1529a92d6ad7531,en_other18,|82646961385111609324495,0kvEuL7ggUP1i6vi3ILiRwP+Z3Pt8eIV8VYVDc6uAm8=,2024-12-27,DOES THE DJI 2S WITH THE DJI RC ALLOW YOU TO SET WAYPOINTS?,B6pVqI/yLAqAVLngMH0EntrCd6BnUxcnKVlCUzXR6A0=,5.0,"满意表扬,使用指导",具有DJI RC的DJI 2是否允许您设置航路点？
售后,英文,fbcf4f227d1bef5904985fe087b27be2,na_sp1,|82646891648028078336044,l/YX4obiMblA0BLc6DN20w==,2024-12-27,I wasnt able to purchase a DJI Care plan,XrJm2mjmnltRIBF4Im8bgV74BhkTgaRrvQ6NtLf6cRY=,5.0,"购买咨询,保修咨询",我能够购买DJI护理计划
售前,英文,294efca784171691e2927e5426d65832,eu_store1,|82646025957445834131899,1R2XDDZtde4oB36iuW0nTDNCvnklF3xILp7IKF9sF58=,2024-12-28,didnt' get the help I needed,f0sP341+r3g04FawrG31hhKj/T0CRRjVaZ4HBL+fZQs=,1.0,服务不满,没有得到我需要的帮助
售前,英文,79db2a7d87c9af0a8ef4db1be6729e0c,na_store1,|82645154852002548625093,FRDA/kbL8/FLSGtvEB9NSQ==,2024-12-29,"when I will received my package , my Order Number:0011650158042",pT8x5CiEO/riZ4fEkaBndQVlYpbLRtThru+ItiLKvRM=,1.0,购买咨询,当我收到包裹时，我的订单号：0011650158042
售后,英文,d1a8bd11400576aee078e86d6521e2c6,eu_sp1,|82645100013973179871590,Yg7ZZYiRY8Z3CiEaAaDFDxWwtmeE5Dr6EiPF3v7xjb8=,2024-12-29,"i can't find activation code, can send my mail that code",mxs1fK3w2S0kRCEetlSCD28NaOhKNVfdB8krR7CVYlY=,2.0,"设备丢失,激活设置",我可以获得激活代码，可以发送我的电子邮件该代码
售后,英文,4af909629613641704b3c1bb2be6672d,na_sp1,|82644999014558367037001,LY2iHtCJB2mJ4GJoKHjX3AoIPlr/8jtgxsArwFe4aS8=,2024-12-29,no resolution ,6jkfnM1VActH36Vrepia8mDW/fCCXELGGnKmivqgwAo=,1.0,服务不满,没有解决方案
售后,英文,20f76bd81f034d21adf109d206a344cc,na_sp14,|82644847062615865030409,sW9pfW5czxbJp7OGWp10hw==,2024-12-29,Answers were quick and efficient,xkRPLbDzwkwGIBiK8XSwcJc0vJY7+vbIVlscSC6Li0E=,5.0,满意表扬,答案快速有效
售后,英文,9359aee43b8da4e5b3060905a828aaf8,en_other18,|82643636746662758973215,2JQLyIv6aMXD1q8rdIVii6hGzyX1EYPtNq+Xp+vbMo6eyvn1K2vIgUtcO14CJfbr,2024-12-31,I never received my drone ,yVDIntnL4Zffwr5f2nPpfOWuP4Z+aL+52kBjhSo3i+A=,1.0,服务不满,我从未收到过我的无人机
售后,英文,6a2ba8b1fd2bebb20855fcf969d002c2,na_sp1,|82643951627871839067972,4IzauYaKAN3ht6SozEVtAA==,2024-12-31,"Bought new, 2 batteries are not good. How do I get them replaced ",hQyH9/bZ91NPzZ7pCbqum07obFkyjVyDV1mlFyHgQfc=,1.0,"满意表扬,使用指导",布什特（Busht New），2个不是好的电池。我如何替换它们
售后,英文,acf1044bfd0b04f6763e5dedc7df3791,na_sp1,|82643393395388631164855,LivDKu13WXUdqovCdp2Y3A==,2024-12-31,"My Mavi Pro controller, after being charged turns off almost immmediately. Can u help?",yNtNudpWUPP1Lt/QOq6FJk7dc+5gLpmzdyymxioXcG4=,5.0,"满意表扬,使用指导",我的Mavi Pro控制器被充电后几乎立即关闭。你可以帮忙吗？
售后,英文,45b7cd395e5a8c0c4b6a87e97357296d,na_sp1,|82643445466131112344032,cYhTRY+ajjQlNC+7zA8smoy68zBwYR2chVd82+94h/Q=,2024-12-31,Timed out as I finished typing!!!!,mnKGwtFO1SoBpYbTELtFhuG1TnJGXkCqhDqUKCMcdvg=,1.0,服务不满,当我完成输入时，超时了！！！！
售前,小语种,22b5ce0f34af5778489d1757e1d8ec69,fr_store1,|82642735886088148961233,VVwJAIDH6A4yALAYdzgCVf25lNxHdoNdiqXajn6ARXM=,2025-01-01,Activation dji care refresh impossible ,W3/MSba3er5GBhtWr6HWnK8uderLPEhYM7zGiurW2sU=,5.0,"保修咨询,激活设置",激活DJI护理刷新不可能
售后,英文,488b305604e2a2d90cb0eb7f31b9bfbf,fb_sp1,|82642657730595266868798,LAsyBPi2TKM8SKyiRp6yaw==,2025-01-01,very satisfied,yScvvs0jGP3TI22psC2VC71nD2fSRc6uLTHMS1vB9rs=,5.0,满意表扬,很满意
售后,英文,5d07c2ab3fc298b49eec10a108e9bce2,en_other18,|82644279921071852789837,Oz9X49U6pegDY0K+icYh8Q==,2025-01-01,"Supprimer compte gmail et merci
",yvDd7LxLCBZMTVI8r2+WGZWktsfFhLV40HXn48K/l5A=,5.0,满意表扬,删除Gmail帐户，谢谢
售后,英文,d722cda610ed44513f8891e431fca5fa,eu_sp1,|82642512054883989276455,tjA4bQ4/lwJSgbclFOI/DA==,2025-01-01,I have to type in the 349830 digit s/n,kyNi554051Hdl+SH4VUYmvUlbAxhMGA8BhFflLTn4YA=,1.0,服务不满,我必须输入349830 Digit S/N
售后,小语种,7553ccfcf80ae995919cfab166cade67,fr_sp1,|82641406010255962966792,298AFOFVjzdC6f1pLDrhyzGfQHOblLHRYx2m2Qg3MZk=,2025-01-02,"Je n'arrive pas à exprimer une simple demande par message...
",tSQZ+pEV2htRjcg4Pgwzqn98iM/6WsfccNPLGmKDo1A=,1.0,服务不满,我无法通过消息表达一个简单的请求...
售后,英文,a7e05c150d1e4f1a6509ceca01afd79c,au_sp1,|82640972303818532154243,2YmipIQwayimA1x78FvDiSolaOg6nMuNzqf4C0eXKlc=,2025-01-03,A good help as had problems signing up but all good now thank you.,cYrHLzGxDxH7JYBvjkwKc2rifKQuMIQO3m8t5hZ7s+A=,4.0,"产品故障,满意表扬,礼貌问候",有很好的帮助，因为有问题，但现在一切都很好，谢谢。
售后,英文,8d66323b47179b4e0909c069c5b013e3,na_sp1,|82640919927296888788203,2xw8H74XRoUD9P+s1QmAvg==,2025-01-03,I would like to speak to someone. ,TvOOupYdKU1U9o5+ACJ3BMBN9VakBja241gkp0b0B0A=,2.0,服务不满,我想和某人说话。
售后,英文,67a641f60d3b27aec9fcd686d2b3d7b7,eu_sp1,|82640992152697227872720,tLD2DwgdAd6ItSahn5mIfrkajZ8aHHA+XDnGotH5yso=,2025-01-03,"Low grade support. Sell,sell sell . .   and only 20 words at the most ! Live chat ?  ",I2NGc0ReeC5J9QcOSwTeTuAXL86oywUQuSqRq6yF8z4=,1.0,设备兼容,低年级支持。出售，出售。 。   最多只有20个单词！活猫？
售后,小语种,13e32a1857675e5b86ee454ec02a48f1,fr_sp1,|82640991121468975775575,pnc8XMQyMmgip7zvN/6epUyS9vD7wwXhsXpw8slqdDw=,2025-01-03,"Les contacts seraient plus efficaces en utilisant le courriel.
le dialogue est interrompu sans cesse",a0kogapC9jYx/GECgNTwV97aEFnlgYGu7cdrTDK9fNw=,2.0,服务不满,"使用电子邮件将更有效。
对话不断中断"
售后,小语种,49ef24e8996d1e3b6d314ceacf66168e,de_sp1,|82641711894556024279279,crHSnvS7WdLOaaXU6GH61ntwWiN3W3CCB7je23Rsvpo=,2025-01-03,Keiner meldet sich und die Hilfe die ich bekomme ist nicht wertvoll,Sgz9MGIAiBVgdWP2GPjF1TE2kgVl8bnTMzGHM+U8JfA=,1.0,礼貌问候,Keiner Meldet Sich und Die Hilfe Die iCh bekomme ist nicht wertvoll
售后,英文,658c9645b7d415c7f76c9ffa624f2f4a,au_sp1,|82640511871782126368912,2dIHsFhyi0pnAPFX/4iDCrpncKsj8Ztk9Q1w0zJHY+k=,2025-01-04,it sucks,SZyOdz5Af9hIEeerpiVDKMxjIcOyJ+YwSqN8G2tt0yw=,1.0,服务不满,很烂
售前,英文,12d425c97c71b21929a07ea16902338b,na_store1,|82639935567308311451137,Z+sfkpfpkhFWiISNBV7zDA==,2025-01-04,No response,vZFyYaGGY2hR5M5AOqNAlQK72si8V9zsaBM7tXxx3Jw=,1.0,服务不满,没有责任
售前,英文,5608b70fe29274ac98ba7e3e00583fb6,na_store1,|82640459024551230326792,yWIa/lBQRKY+EIQvLfmsjw==,2025-01-04,Quick and courteous support is meaningless when you insult your customer.,LKAoGeY3twG0lFlD64LId9N9lCs7C9QLJmsTS664JmU=,2.0,设备兼容,当您侮辱客户时，快速而有礼貌的支持毫无意义。
售前,英文,f9a69f1d5433a6a4e5681eb102bb0785,na_store1,|82639490556082527719809,pELV6PqZAqn4q0HakcOK6kHhisrlpPTz6U60BIJc6y4=,2025-01-05,sorry the 1000 expansion unit how hard is it to get repaired ,wjWuPzBo6gSQAsQRVvNR6OuvZYaZFJXHSlvDFZQQBlk=,3.0,"设备维修,设备兼容",抱歉，1000扩展单元要克服多么困难
售后,英文,9a8c500b295410e193fc4da2c19cfed4,na_sp1,|82638214236371850784871,pkbW+CauM8Eb2d+Qn/SQXFbNa+FId4GjSCqJyf/eBQM=,2025-01-06,"Hello, my name is Karla Valencia, I`m talking about Saquinsa Export Import company in Mexico
",+IxNCD5PP6asOsKr/oACRpqUI18hZzuwEig6lkOJoPU=,5.0,礼貌问候,您好，我叫Karla Valencia，我在谈论墨西哥城的Saquinsa出口进口公司
售前,英文,5737f5d08fa7dc2cc2c9660e6f619195,au_store1,|82638612591102777561852,Y5fusGXR9qvsI3TnSpMC3H0Uif9l4rDJPfJ2z5f93Eo=,2025-01-06,I made the order online and yet she said that it's in retail!? How???,4QK4rml2wKvz2Ymw4L+Roxsx8QZL7S+zB8Fzsnh3+I4=,1.0,购买咨询,我在线下订单，但她说那是在零售中！？如何 ？？？
售前,小语种,936402e9d526c106f1c336186333cbec,de_store1,|82638289677634171435438,AWB/8T/Q4JTjC4+Wh2m9F6h2ThLbZUBC0jYYzowshb4=,2025-01-06,"Klasse Service, hat funktioniert, danke...",s+a/VcOJJ//gufyMz+HCN0MkcCaecdKZOI/uq+iDUmo=,5.0,满意表扬,Klasse服务，帽子Funktioner，Danke ...
售前,英文,9c711b101d80a472e0bf6b868a2947a6,au_store1,|82638765760814919326261,EQQyscNo5CULtaYh45aYfvI2kzMJfLb8nh1rK65QbsHh3MAGBpGQQG3ezRzieOez,2025-01-06,"Hi, I need to talk to na agent please!.",gJPfgmo00Wye72vfhFGThLWh7Gf1M8RE8xvs2ZSk7tU=,2.0,礼貌问候,嗨，我需要与AG代理商交谈！
售后,英文,42e50b829f371f5fc9506880a0d2a6f1,fb_fly1,|82638133535248694630642,jdMLqmSM5DLzfijQWE2j7FrxRtWctlGh5pQGZzWOV9s=,2025-01-07,El idioma ,c4h8HLTqWfOOqBNO1sWVwXzGH8JU+254cc5GMIjRIho=,1.0,服务不满,语言
售后,英文,0f8b9a8c3f4be2eb8fc882a68d262a05,eu_sp1,|82637175476942326870884,G90ksn0TYy4p0RvNey8gPz63+7/vReVDkoNDlyGB3Qg=,2025-01-07,"Hi, the pictures I take on my Air 3 is very pixelated and bad quality how do I fix this?",c/lSuXzrhocDyCa0cfgzosRwOoA6TVw56WxkPjyWjaw=,2.0,"服务不满,设备维修,礼貌问候,使用指导",嗨，我在空气上拍摄的图片非常像素化，浴室质量如何解决？
售前,英文,7f7a24f544c029ccc2427d83cbd380be,na_store1,|82636692967238300059513,h55Q5Te5Ge/PZXkUivqjEw==,2025-01-08,"I HAVE THIS LIC d82f9de6-022e-4536-ab15-3b96c2ea7f40
AND I WANT TO bind it to other device 
",/Fq9UEsPujdvRdJ6ZUM23afl67wcpmJzUW45Hd0mYSo=,5.0,礼貌问候,"我有这个LIC D82F9DE6-022E-4536-AB15-3B96C2EA7F40
我想将其绑定到其他设备"
售前,小语种,a98437a79e821bbc26081f8233366de3,fr_store1,|82637306849399995574325,QZW1WmxHryAl6DEKMWDvBmSXFvCSr7LFCAwG2//v0rk=,2025-01-08,Personne ne répond au mail,sGoIBZbi0jMjeEVM5W4BN+qWzAAlOe5Uq+fr/M2bvSY=,1.0,服务不满,没有人回复电子邮件
售后,英文,933d2ecff46e976dc6ff8a1b47f07d12,en_other18,|82636390510601510314548,leT3XUZ6pppKKucMwI6Rhg==,2025-01-08,"Activacation software is nearly impossible to find and execute ,very confusing . Been trying for 2 h",4OP2kDwzKfvTA1f7p0czqjsD5DyJuthFbgamJEdYhEI=,1.0,"APP使用,设备丢失",软件激活几乎无法找到和执行，非常令人困惑。一直在尝试2个小时
售后,英文,e791e58c611f70b31b27d2483dd4f6bd,na_sp17,|82637292415115289814250,JAcmP2C7kP2x9af2s1TOwcZGrI7Sxmf8WkwbgWr5LwI=,2025-01-08,I've been waiting FOREVER. Get more agents please,2fV+spsaEDdIHEzJfjoLiooOXZp5HrBokVk7NiAIbJE=,1.0,礼貌问候,永远等待多少。请提供更多代理商
售前,小语种,68324737f194789db7305e19576b4b89,de_store1,|82635765097897081721645,4GntvSBtQ+upgvQ7uQ/2gWlDikrLXXq7275jCapKgFE=,2025-01-09,"`gibt es noch ersatzaccus für dji mini
",Y1HQBP1pm62Cw25EX3qVaX7AMP/R87sIFKwacZFvbP4=,5.0,满意表扬,`仍然有DJI MINI的替代名称
售后,小语种,3872455d2873987b7d5878c1ba791619,de_other01,|82636310841936785181893,tkqa4EKuuhtkqXgIbFona98A5aGGA6xbBpmpjQdU5JA=,2025-01-09,Lange Wartezeiten.,4R+cEMwQJcFVAQ0DrG7LM6HvozHFNxJQKJUfFlQPHeU=,1.0,服务不满,漫长的等待时间。
售后,英文,017364c3851d2dd5a8c79d9f8583594e,na_sp1,|82635435065595367657209,SwaK/bLpZszbAaDgyXu0STq3JjvXMlpHJhrhoa04G40=,2025-01-09,"no response
